time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-09-24T15:48:36.398Z,37.3757,-117.134,4.6,1.1,ml,18,131.12,0.126,0.2248,nn,nn00823360,2021-09-24T15:52:05.796Z,"38 km SSE of Goldfield, Nevada",earthquake,,1.6,1.01,11,automatic,nn,nn
2021-09-24T15:41:20.800Z,17.955,-67.0901,10,1.8,md,4,270,0.0481,0.07,pr,pr2021267002,2021-09-24T15:58:12.477Z,"5 km WSW of La Parguera, Puerto Rico",earthquake,0.75,0.64,0.08,3,reviewed,pr,pr
2021-09-24T15:40:50.450Z,19.1536674499512,-155.473831176758,32.439998626709,1.92999995,md,39,166,,0.119999997,hv,hv72723217,2021-09-24T15:44:02.540Z,"5 km S of Pāhala, Hawaii",earthquake,0.57,0.879999995,1.92999995,4,automatic,hv,hv
2021-09-24T15:33:51.380Z,41.1276667,-112.1086667,8.89,1.56,ml,22,74,0.1433,0.13,uu,uu60459487,2021-09-24T18:34:50.920Z,"2 km WNW of West Point, Utah",earthquake,0.27,1.06,0.125,5,reviewed,uu,uu
2021-09-24T15:30:32.000Z,38.8325005,-122.8096695,2.35,1.17,md,8,148,0.009098,0.05,nc,nc73628886,2021-09-24T15:32:10.163Z,"8km W of Cobb, CA",earthquake,0.77,1.07,,1,automatic,nc,nc
2021-09-24T15:21:07.255Z,62.9428,-151.0245,111.1,2.1,ml,,,,0.56,ak,ak021c9tjogh,2021-09-24T15:28:03.418Z,"51 km NNW of Petersville, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-09-24T15:04:14.975Z,8.6254,94.1289,10,5.4,mww,,156,4.383,0.95,us,us7000fe2z,2021-09-24T17:07:31.110Z,"Nicobar Islands, India region",earthquake,7.6,1.9,0.083,14,reviewed,us,us
2021-09-24T15:04:10.220Z,35.9693336,-120.5221634,10.45,2.18,md,33,59,,0.05,nc,nc73628881,2021-09-24T15:07:11.366Z,"11km NW of Parkfield, CA",earthquake,0.18,0.25,0.16,25,automatic,nc,nc
2021-09-24T14:55:15.540Z,32.923,-116.2408333,7.69,1.03,ml,33,123,0.06131,0.18,ci,ci39818095,2021-09-24T17:47:03.840Z,"26km SSW of Ocotillo Wells, CA",earthquake,0.28,0.66,0.122,14,reviewed,ci,ci
2021-09-24T14:51:03.280Z,19.1528339385986,-155.453170776367,33.0400009155273,2.22,ml,49,171,,0.129999995,hv,hv72723162,2021-09-24T14:56:33.700Z,"6 km SSE of Pāhala, Hawaii",earthquake,0.57,0.810000002,3.25,12,automatic,hv,hv
2021-09-24T14:50:33.040Z,32.9213333,-116.2368333,7.38,1.18,ml,39,73,0.06505,0.18,ci,ci39818087,2021-09-24T17:40:03.840Z,"27km SSW of Ocotillo Wells, CA",earthquake,0.27,0.55,0.132,18,reviewed,ci,ci
2021-09-24T14:37:20.632Z,59.8744,-152.4259,79.3,2.7,ml,,,,0.8,ak,ak021c9t1pg0,2021-09-24T14:43:18.025Z,"35 km WNW of Anchor Point, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-09-24T14:31:20.950Z,41.9251667,-112.6553333,1.39,1.29,md,11,211,0.2443,0.1,uu,uu60459482,2021-09-24T18:30:42.110Z,"6 km SE of Snowville, Utah",earthquake,0.91,31.61,0.083,8,reviewed,uu,uu
2021-09-24T14:28:16.580Z,38.1071663,-118.9465027,2.53,2.1,md,18,91,0.3766,0.07,nc,nc73628861,2021-09-24T14:32:27.238Z,"13km SSE of Bodie, CA",earthquake,0.34,9.89,0.17,15,automatic,nc,nc
2021-09-24T14:17:46.927Z,60.7316,-151.7304,68.8,2.2,ml,,,,0.55,ak,ak021c9sxh34,2021-09-24T14:26:55.918Z,"24 km W of Nikiski, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-09-24T14:12:55.087Z,31.675126,-104.3760658,6.568603515999999,2,ml,15,65,0.1065117245,0.3,tx,tx2021stby,2021-09-24T15:20:52.240Z,"55 km S of Whites City, New Mexico",earthquake,1.462520439,1.775569519,0.1,8,reviewed,tx,tx
2021-09-24T14:12:06.855Z,63.2292,-150.5961,52.3,1.5,ml,,,,1.26,ak,ak021c9swbfx,2021-09-24T14:22:35.131Z,"66 km ESE of Denali National Park, Alaska",earthquake,,1.2,,,automatic,ak,ak
2021-09-24T14:11:34.490Z,38.1046677,-118.93367,22.62,2.5,md,29,81,0.3683,0.13,nc,nc73628846,2021-09-24T16:26:20.436Z,"14km SSE of Bodie, CA",earthquake,0.4,1.35,0.2,24,automatic,nc,nc
2021-09-24T14:08:13.530Z,38.8273315,-122.8528366,1.88,1.11,md,19,98,0.00316,0.02,nc,nc73628831,2021-09-24T14:09:50.815Z,"10km WNW of The Geysers, CA",earthquake,0.22,0.39,0.2,4,automatic,nc,nc
2021-09-24T13:54:08.350Z,19.4139995574951,-155.303833007812,2.63000011444092,1.82,ml,28,74,,0.25999999,hv,hv72723072,2021-09-24T13:59:40.160Z,"7 km WSW of Volcano, Hawaii",earthquake,0.39,0.449999988,0.27,6,automatic,hv,hv
2021-09-24T13:39:41.240Z,36.7605,-98.0635,7.78,1.74,ml,67,89,0.09718092979,0.17,ok,ok2021staw,2021-09-24T16:59:39.337Z,"8 km E of Nescatunga, Oklahoma",earthquake,,0.4,0.18,7,reviewed,ok,ok
2021-09-24T13:24:10.840Z,36.1873333,-117.8688333,5.71,1.21,ml,23,61,0.07052,0.16,ci,ci39818023,2021-09-24T17:29:51.689Z,"16km SE of Olancha, CA",earthquake,0.24,0.64,0.184,14,reviewed,ci,ci
2021-09-24T13:23:14.945Z,62.3378,-151.3082,85.7,1.7,ml,,,,0.32,ak,ak021c9sd9c6,2021-09-24T13:28:18.986Z,"33 km WSW of Petersville, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-09-24T13:22:03.040Z,19.4046669006348,-155.289001464844,0.689999997615814,1.90999997,md,8,98,,0.109999999,hv,hv72723042,2021-09-24T13:27:34.910Z,"7 km SW of Volcano, Hawaii",earthquake,0.24,0.439999998,,5,automatic,hv,hv
2021-09-24T13:02:08.389Z,38.1459,-118.9442,0,1,ml,13,214.68,0.361,0.1884,nn,nn00823343,2021-09-24T13:05:41.763Z,"21 km ENE of Mono City, California",earthquake,,69.6,0.46,6,automatic,nn,nn
2021-09-24T12:48:30.032Z,38.1553,-117.8986,9,1,ml,15,76.53,0.021,0.2137,nn,nn00823338,2021-09-24T12:51:42.126Z,"31 km SE of Mina, Nevada",earthquake,,0.5,0.3,8,automatic,nn,nn
2021-09-24T12:45:59.376Z,31.64855753,-104.2420962,6.74855957,1.8,ml,23,59,0.1714138601,0.2,tx,tx2021sszc,2021-09-24T15:33:49.058Z,"56 km NW of Toyah, Texas",earthquake,0.9991478094,1.275811653,0.2,12,reviewed,tx,tx
2021-09-24T12:31:56.110Z,38.8161659,-122.776001,1,1.14,md,23,73,0.004671,0.03,nc,nc73628821,2021-09-24T12:33:34.751Z,"5km W of Cobb, CA",earthquake,0.21,0.33,0.13,5,automatic,nc,nc
2021-09-24T12:17:36.335Z,36.3899,-114.8679,10.3,1.9,ml,21,123.14,0.259,0.2824,nn,nn00823330,2021-09-24T15:03:03.396Z,"23 km NE of Nellis Air Force Base, Nevada",earthquake,,2.4,0.67,4,reviewed,nn,nn
2021-09-24T12:17:33.996Z,38.4744,-116.3262,6.7,1.6,ml,13,176.44,0.809,0.1253,nn,nn00823332,2021-09-24T12:21:40.925Z,"91 km ENE of Tonopah, Nevada",earthquake,,1,0.48,4,automatic,nn,nn
2021-09-24T12:13:11.873Z,38.168,-117.8856,11.5,2.3,ml,27,55.72,0.013,0.1588,nn,nn00823327,2021-09-24T18:17:10.767Z,"31 km SE of Mina, Nevada",earthquake,,0.6,0.29,13,reviewed,nn,nn
2021-09-24T12:11:06.055Z,59.1967,-152.1579,60.7,2.4,ml,,,,0.29,ak,ak021c9rp8gd,2021-09-24T12:15:11.114Z,"22 km SW of Nanwalek, Alaska",earthquake,,1,,,automatic,ak,ak
2021-09-24T11:58:58.200Z,19.0986671447754,-155.460327148438,26.9899997711182,1.89999998,md,40,214,,0.150000006,hv,hv72722972,2021-09-24T12:04:27.660Z,"11 km S of Pāhala, Hawaii",earthquake,0.55,0.889999986,0.959999979,15,automatic,hv,hv
